Symbol,Underlying,SecurityName,DateofListing,MarketLot,ISINNumber,FaceValue
MOSMALL250,MotilalOswalNiftySmallcap250ETF,MOTILALAMC-MOSMALL250,21-Mar-24,1,INF247L01CH6,10
LIQUIDADD,DSPS&PBSELiquidRateETF,DSPAMC-LIQUIDADD,03-Apr-24,1,INF740KA1UM0,1000
ABSLPSE,AdityaBirlaSunLifeNiftyPSEETF,BIRLASLAMC-ABSLPSE,23-May-24,1,INF209KB19Z4,1
MIDSMALL,MiraeAssetNiftyMidSmallcap400MomentumQuality100ETF,MIRAEAMC-MIDSMALL,28-May-24,1,INF769K01LJ8,10
LIQUIDBETF,BajajFinservNifty1DRateLiquidETF,BFAM-LIQUIDBETF,03-Jun-24,1,INF0QA701854,1000
TOP100CASE,ZerodhaNifty100ETF,ZERODHAAMC-TOP100CASE,19-Jun-24,1,INF0R8F01067,10
MID150CASE,ZerodhaNiftyMidcap150ETF,ZERODHAAMC-MID150CASE,19-Jun-24,1,INF0R8F01059,10
BBNPNBETF,Baroda BNP Paribas NIFTY Bank ETF,BARODABNP - BBNPNBETF,24-Jun-24,1,INF251K01TL6,10
SBISILVER,SBI SILVER ETF,SBIAMC - SBISILVER,08-Jul-24,1,INF200KB1217,10
LIQUIDSHRI,SHRIRAM NIFTY 1D RATE LIQUID ETF,SHRIRAM - LIQUIDSHRI,09-Jul-24,1,INF680P01422,1000
ABGSEC,Aditya Birla Sun Life CRISIL Broad Based Gilt ETF,BIRLASLAMC - ABGSEC,10-Jul-24,1,INF209KC1134,100
EVINDIA,Nifty EV and New Age Automotive Total Return Index,MIRAEAMC - EVINDIA,16-Jul-24,1,INF769K01LQ3,10
SBINEQWETF,Nifty50 Equal Weight,SBIAMC - SBINEQWETF,23-Jul-24,1,INF200KB1282,10
OILIETF,Nifty Oil & Gas Index,ICICIPRAMC - OILIETF,24-Jul-24,1,INF109KC18W3,10
GROWWEV,Groww Nifty EV & New Age Automotive ETF,GROWWAMC - GROWWEV,12-Aug-24,1,INF666M01IH2,10
GSEC10ABSL,CRISIL 10 Year Gilt ETF,BIRLASLAMC - GSEC10ABSL,19-Aug-24,1,INF209KC1142,100
METALIETF,Nifty Metal Index,ICICIPRAMC - METALIETF,20-Aug-24,1,INF109KC19W1,10
MODEFENCE,Nifty India Defence Total Return Index,MOTILALAMC - MODEFENCE,27-Aug-24,1,INF247L01DJ0,10
MULTICAP,Nifty500 Multicap 50:25:25 Index,MIRAEAMC - MULTICAP,05-Sep-24,1,INF769K01LX9,10
TOP10ADD,Nifty Top 10 Equal Weight Index,DSPAMC - TOP10ADD,11-Sep-24,1,INF740KA1UR9,10
EBANKNIFTY,Edelweiss Nifty Bank ETF,EDELAMC - EBANKNIFTY,16-Sep-24,1,INF754K01TE4,10
GROWWLIQID,Nifty 1D Rate Index,GROWWAMC - GROWWLIQID,26-Sep-24,1,"INF666M01IP5	",100
MOMENTUM50,Nifty 500 Momentum 50 Total Return Index,MOTILALAMC - MOMENTUM50,30-Sep-24,1,INF247L01DK8,10
BANKPSU,Nifty PSU Bank Total Return Index,MIRAEAMC - BANKPSU,08-Oct-24,1,INF769K01LZ4,10
METAL,Nifty Metal Total Return Index,MIRAEAMC - METAL,09-Oct-24,1,INF769K01LY7,10
"GROWWDEFNC	",Nifty India Defence Index- Total Return Inde,GROWWAMC - GROWWDEFNC,11-Oct-24,1,INF666M01IO8,10
VAL30IETF,Nifty200 Value 30 Index,ICICIPRAMC - VAL30IETF,22-Oct-24,1,INF109KC16X5,10
"GROWWGOLD	",Commodity,GROWWAMC - GROWWGOLD,24-Oct-24,1,"INF666M01IW1	",10
EMULTIMQ,Nifty500 Multicap Momentum Quality 50 Total Return Index,EDELAMC - EMULTIMQ,07-Nov-24,1,INF754K01TF1,10
LIQUIDPLUS,Nifty 1D Rate Index,MIRAEAMC - LIQUIDPLUS,13-Nov-24,1,INF769K01MY5,1000
